datetime,DE,US-CAL-CISO,IE,US-TEX-ERCO,DK
2026-05-01T00:00:00.000Z,276,61,363,454,62
2026-05-01T01:00:00.000Z,284,85,368,459,61
2026-05-01T02:00:00.000Z,286,115,366,466,72
2026-05-01T03:00:00.000Z,293,124,368,474,69
2026-05-01T04:00:00.000Z,281,129,368,476,91
2026-05-01T05:00:00.000Z,226,129,381,470,102
2026-05-01T06:00:00.000Z,154,127,387,471,87
2026-05-01T07:00:00.000Z,123,124,381,479,90
2026-05-01T08:00:00.000Z,115,116,348,470,85
2026-05-01T09:00:00.000Z,113,116,323,449,84
2026-05-01T10:00:00.000Z,115,120,309,444,88
2026-05-01T11:00:00.000Z,115,124,307,446,89
2026-05-01T12:00:00.000Z,117,133,293,443,91
2026-05-01T13:00:00.000Z,117,135,293,427,94
2026-05-01T14:00:00.000Z,122,94,282,399,91
2026-05-01T15:00:00.000Z,127,69,297,391,84
2026-05-01T16:00:00.000Z,190,63,335,366,73
2026-05-01T17:00:00.000Z,246,58,366,342,53
2026-05-01T18:00:00.000Z,265,56,385,314,62
2026-05-01T19:00:00.000Z,257,60,411,280,60
2026-05-01T20:00:00.000Z,245,59,423,268,77
2026-05-01T21:00:00.000Z,235,60,417,271,80
2026-05-01T22:00:00.000Z,232,62,411,301,65
2026-05-01T23:00:00.000Z,228,76,417,347,52
2026-05-02T00:00:00.000Z,228,86,415,411,48
2026-05-02T01:00:00.000Z,232,106,412,443,42
2026-05-02T02:00:00.000Z,230,134,412,445,35
2026-05-02T03:00:00.000Z,228,142,419,453,35
2026-05-02T04:00:00.000Z,216,147,418,461,56
2026-05-02T05:00:00.000Z,169,152,416,469,67
2026-05-02T06:00:00.000Z,132,147,406,472,62
2026-05-02T07:00:00.000Z,118,181,397,479,70
2026-05-02T08:00:00.000Z,116,203,394,484,83
2026-05-02T09:00:00.000Z,112,202,395,487,86
2026-05-02T10:00:00.000Z,113,212,372,479,85
2026-05-02T11:00:00.000Z,114,218,364,469,87
2026-05-02T12:00:00.000Z,114,216,351,392,83
2026-05-02T13:00:00.000Z,116,193,348,217,82
2026-05-02T14:00:00.000Z,118,91,358,163,75
2026-05-02T15:00:00.000Z,146,55,377,156,57
2026-05-02T16:00:00.000Z,226,49,405,154,60
2026-05-02T17:00:00.000Z,275,44,424,158,55
2026-05-02T18:00:00.000Z,299,41,427,165,85
2026-05-02T19:00:00.000Z,296,41,435,182,58
2026-05-02T20:00:00.000Z,294,41,435,188,55
2026-05-02T21:00:00.000Z,292,40,429,200,74
2026-05-02T22:00:00.000Z,296,41,417,215,75
2026-05-02T23:00:00.000Z,303,46,414,280,68
2026-05-03T00:00:00.000Z,322,55,417,439,60
2026-05-03T01:00:00.000Z,334,91,412,486,63
2026-05-03T02:00:00.000Z,333,128,398,462,56
2026-05-03T03:00:00.000Z,328,139,385,440,64
2026-05-03T04:00:00.000Z,302,142,375,407,124
2026-05-03T05:00:00.000Z,249,142,366,369,134
2026-05-03T06:00:00.000Z,196,156,348,350,137
2026-05-03T07:00:00.000Z,166,180,334,333,131
2026-05-03T08:00:00.000Z,150,172,324,310,126
2026-05-03T09:00:00.000Z,140,162,330,296,114
2026-05-03T10:00:00.000Z,133,151,326,296,105
2026-05-03T11:00:00.000Z,126,154,295,297,102
2026-05-03T12:00:00.000Z,128,148,284,235,103
2026-05-03T13:00:00.000Z,135,132,297,176,114
2026-05-03T14:00:00.000Z,145,73,320,158,122
2026-05-03T15:00:00.000Z,191,50,344,153,132
2026-05-03T16:00:00.000Z,246,47,339,154,159
2026-05-03T17:00:00.000Z,283,44,346,155,145
2026-05-03T18:00:00.000Z,303,45,356,149,129
2026-05-03T19:00:00.000Z,317,43,356,147,125
2026-05-03T20:00:00.000Z,322,42,365,144,113
2026-05-03T21:00:00.000Z,325,43,358,147,129
2026-05-03T22:00:00.000Z,348,41,357,158,135
2026-05-03T23:00:00.000Z,362,48,357,206,132
2026-05-04T00:00:00.000Z,382,50,370,297,100
2026-05-04T01:00:00.000Z,415,76,372,331,103
2026-05-04T02:00:00.000Z,419,105,359,320,114
2026-05-04T03:00:00.000Z,411,108,353,296,106
2026-05-04T04:00:00.000Z,393,103,372,266,100
2026-05-04T05:00:00.000Z,362,107,360,252,101
2026-05-04T06:00:00.000Z,328,122,351,248,88
2026-05-04T07:00:00.000Z,287,116,324,250,83
2026-05-04T08:00:00.000Z,254,118,296,246,83
2026-05-04T09:00:00.000Z,229,124,269,249,78
2026-05-04T10:00:00.000Z,222,131,269,256,90
2026-05-04T11:00:00.000Z,235,129,274,266,87
2026-05-04T12:00:00.000Z,259,125,271,230,79
2026-05-04T13:00:00.000Z,281,126,276,169,67
2026-05-04T14:00:00.000Z,313,122,290,145,78
2026-05-04T15:00:00.000Z,365,96,302,145,84
2026-05-04T16:00:00.000Z,391,75,323,145,94
2026-05-04T17:00:00.000Z,411,72,347,157,111
2026-05-04T18:00:00.000Z,429,73,358,178,123
2026-05-04T19:00:00.000Z,440,71,367,200,122
2026-05-04T20:00:00.000Z,449,75,362,222,111
2026-05-04T21:00:00.000Z,473,81,359,225,124
2026-05-04T22:00:00.000Z,488,82,345,228,120
2026-05-04T23:00:00.000Z,499,79,344,256,121
2026-05-05T00:00:00.000Z,507,89,362,317,123
2026-05-05T01:00:00.000Z,500,111,371,333,122
2026-05-05T02:00:00.000Z,494,128,376,331,117
2026-05-05T03:00:00.000Z,475,134,383,326,125
2026-05-05T04:00:00.000Z,445,136,391,304,133
2026-05-05T05:00:00.000Z,421,137,400,286,137
2026-05-05T06:00:00.000Z,395,132,392,284,121
2026-05-05T07:00:00.000Z,370,139,380,285,112
2026-05-05T08:00:00.000Z,352,139,349,285,104
2026-05-05T09:00:00.000Z,335,137,322,287,103
2026-05-05T10:00:00.000Z,332,137,322,289,106
2026-05-05T11:00:00.000Z,335,132,318,305,103
2026-05-05T12:00:00.000Z,348,127,315,323,96
2026-05-05T13:00:00.000Z,365,122,324,323,94
2026-05-05T14:00:00.000Z,378,102,324,318,99
2026-05-05T15:00:00.000Z,376,96,337,310,118
2026-05-05T16:00:00.000Z,386,93,345,291,129
2026-05-05T17:00:00.000Z,400,81,358,265,146
2026-05-05T18:00:00.000Z,411,73,371,262,168
2026-05-05T19:00:00.000Z,418,73,370,263,213
2026-05-05T20:00:00.000Z,426,70,371,267,220
2026-05-05T21:00:00.000Z,443,66,361,283,197
2026-05-05T22:00:00.000Z,453,71,350,306,184
2026-05-05T23:00:00.000Z,448,81,337,341,190
2026-05-06T00:00:00.000Z,441,90,350,389,180
2026-05-06T01:00:00.000Z,431,105,357,416,179
2026-05-06T02:00:00.000Z,418,129,365,430,160
2026-05-06T03:00:00.000Z,399,138,382,437,140
2026-05-06T04:00:00.000Z,375,132,401,443,138
2026-05-06T05:00:00.000Z,368,134,407,446,135
2026-05-06T06:00:00.000Z,357,133,390,452,112
2026-05-06T07:00:00.000Z,340,137,374,458,107
2026-05-06T08:00:00.000Z,311,143,336,464,102
2026-05-06T09:00:00.000Z,290,147,312,467,99
2026-05-06T10:00:00.000Z,279,154,300,463,98
2026-05-06T11:00:00.000Z,280,151,299,440,90
2026-05-06T12:00:00.000Z,288,151,304,440,95
2026-05-06T13:00:00.000Z,302,145,309,435,91
2026-05-06T14:00:00.000Z,336,105,314,411,90
2026-05-06T15:00:00.000Z,360,82,333,396,105
2026-05-06T16:00:00.000Z,372,75,350,369,107
2026-05-06T17:00:00.000Z,378,71,373,331,113
2026-05-06T18:00:00.000Z,389,63,388,350,111
2026-05-06T19:00:00.000Z,405,60,406,347,104
2026-05-06T20:00:00.000Z,419,58,411,353,111
2026-05-06T21:00:00.000Z,443,58,409,377,119
2026-05-06T22:00:00.000Z,466,63,392,389,147
2026-05-06T23:00:00.000Z,479,72,411,404,189
2026-05-07T00:00:00.000Z,490,74,417,432,206
2026-05-07T01:00:00.000Z,486,92,415,444,205
2026-05-07T02:00:00.000Z,485,130,414,433,195
2026-05-07T03:00:00.000Z,469,140,415,425,174
2026-05-07T04:00:00.000Z,440,144,417,432,177
2026-05-07T05:00:00.000Z,421,144,414,446,201
2026-05-07T06:00:00.000Z,406,142,408,461,179
2026-05-07T07:00:00.000Z,381,150,391,468,142
2026-05-07T08:00:00.000Z,359,164,364,475,147
2026-05-07T09:00:00.000Z,342,168,349,475,150
2026-05-07T10:00:00.000Z,329,173,349,470,153
2026-05-07T11:00:00.000Z,331,164,343,462,168
2026-05-07T12:00:00.000Z,339,163,341,419,178
2026-05-07T13:00:00.000Z,347,160,343,345,156
2026-05-07T14:00:00.000Z,362,92,346,309,127
2026-05-07T15:00:00.000Z,387,65,356,284,139
2026-05-07T16:00:00.000Z,403,62,368,271,133
2026-05-07T17:00:00.000Z,430,60,389,263,142
2026-05-07T18:00:00.000Z,451,55,409,269,154
2026-05-07T19:00:00.000Z,462,50,427,268,146
2026-05-07T20:00:00.000Z,475,45,432,298,118
2026-05-07T21:00:00.000Z,489,45,430,344,151
2026-05-07T22:00:00.000Z,515,44,413,373,165
2026-05-07T23:00:00.000Z,531,49,414,396,165
2026-05-08T00:00:00.000Z,540,57,415,417,167
2026-05-08T01:00:00.000Z,536,84,421,437,170
2026-05-08T02:00:00.000Z,522,121,422,432,170
2026-05-08T03:00:00.000Z,501,126,424,438,170
2026-05-08T04:00:00.000Z,457,126,436,453,150
2026-05-08T05:00:00.000Z,419,129,433,446,143
2026-05-08T06:00:00.000Z,387,133,413,457,127
2026-05-08T07:00:00.000Z,342,130,387,469,122
2026-05-08T08:00:00.000Z,285,129,356,471,113
2026-05-08T09:00:00.000Z,227,124,340,456,104
2026-05-08T10:00:00.000Z,209,117,336,453,102
2026-05-08T11:00:00.000Z,201,112,331,454,101
2026-05-08T12:00:00.000Z,223,116,323,452,89
2026-05-08T13:00:00.000Z,253,106,312,437,82
2026-05-08T14:00:00.000Z,287,66,314,412,87
2026-05-08T15:00:00.000Z,333,54,333,375,97
2026-05-08T16:00:00.000Z,373,49,334,358,102
2026-05-08T17:00:00.000Z,397,47,335,347,117
2026-05-08T18:00:00.000Z,413,46,332,319,137
2026-05-08T19:00:00.000Z,415,45,332,310,129
2026-05-08T20:00:00.000Z,436,45,322,312,135
2026-05-08T21:00:00.000Z,450,45,299,332,139
2026-05-08T22:00:00.000Z,449,43,278,344,133
2026-05-08T23:00:00.000Z,460,44,257,380,127
2026-05-09T00:00:00.000Z,474,49,260,429,127
2026-05-09T01:00:00.000Z,488,67,250,432,131
2026-05-09T02:00:00.000Z,492,103,203,427,129
2026-05-09T03:00:00.000Z,489,109,171,432,115
2026-05-09T04:00:00.000Z,463,112,172,435,124
2026-05-09T05:00:00.000Z,411,109,161,444,126
2026-05-09T06:00:00.000Z,313,111,143,438,110
2026-05-09T07:00:00.000Z,200,118,139,465,96
2026-05-09T08:00:00.000Z,147,126,125,480,112
2026-05-09T09:00:00.000Z,140,128,127,467,110
2026-05-09T10:00:00.000Z,135,127,131,444,106
2026-05-09T11:00:00.000Z,135,127,129,442,107
2026-05-09T12:00:00.000Z,137,126,131,429,108
2026-05-09T13:00:00.000Z,141,114,133,352,109
2026-05-09T14:00:00.000Z,165,65,134,305,94
2026-05-09T15:00:00.000Z,250,54,136,277,98
2026-05-09T16:00:00.000Z,348,52,135,250,130
2026-05-09T17:00:00.000Z,387,52,143,240,135
2026-05-09T18:00:00.000Z,400,52,165,243,143
2026-05-09T19:00:00.000Z,403,48,192,254,142
2026-05-09T20:00:00.000Z,403,48,172,260,140
2026-05-09T21:00:00.000Z,411,49,140,265,146
2026-05-09T22:00:00.000Z,418,49,123,270,153
2026-05-09T23:00:00.000Z,436,47,121,296,153
2026-05-10T00:00:00.000Z,448,52,116,372,156
2026-05-10T01:00:00.000Z,454,79,127,388,151
2026-05-10T02:00:00.000Z,457,116,151,366,143
2026-05-10T03:00:00.000Z,446,124,167,349,137
2026-05-10T04:00:00.000Z,410,121,177,336,132
2026-05-10T05:00:00.000Z,333,121,169,327,119
2026-05-10T06:00:00.000Z,206,125,155,314,127
2026-05-10T07:00:00.000Z,146,146,141,309,120
2026-05-10T08:00:00.000Z,128,155,135,315,104
2026-05-10T09:00:00.000Z,123,152,135,327,97
2026-05-10T10:00:00.000Z,122,143,140,344,93
2026-05-10T11:00:00.000Z,121,140,146,356,92
2026-05-10T12:00:00.000Z,124,144,145,338,93
2026-05-10T13:00:00.000Z,130,119,149,266,98
2026-05-10T14:00:00.000Z,143,76,151,239,101
2026-05-10T15:00:00.000Z,186,61,146,228,99
2026-05-10T16:00:00.000Z,294,57,148,218,94
2026-05-10T17:00:00.000Z,354,54,183,216,109
2026-05-10T18:00:00.000Z,388,51,222,225,113
2026-05-10T19:00:00.000Z,399,50,243,230,115
2026-05-10T20:00:00.000Z,399,48,276,233,124
2026-05-10T21:00:00.000Z,419,50,262,239,124
2026-05-10T22:00:00.000Z,441,54,253,271,141
2026-05-10T23:00:00.000Z,463,61,280,308,156
